,Humility.listener,Humility.Speaker,Condition
1,8.5,7.875,1
2,8.75,6,1
3,5,4.5,1
4,5.125,4.125,1
5,8.125,7.125,1
6,7.125,7,1
7,9.375,6.125,1
8,6,6.25,1
9,6.875,7.375,1
10,5.625,7.25,0
11,8.125,7.625,1
12,5.625,6.25,0
13,6.25,7,1
14,4.875,4.625,0
15,4.5,6.75,1
16,5,9.375,1
17,3.375,6.625,0
18,5.625,8.75,1
19,7.125,6.5,0
20,6.625,6.375,1
21,8.625,7,0
22,7.625,6.625,1
23,9.375,6.5,1
24,8,6.25,1
25,5.875,7.625,0
26,5.875,6.75,1
27,5.75,4.125,0
28,8.375,5.5,1
29,5,6.125,0
30,4.5,6.5,1
31,5.5,5,0
32,5.5,6.375,0
33,8.5,2.625,1
34,5.5,5.75,0
35,7.375,5.75,1
36,4.5,4.5,0
37,6.625,5.875,1
38,6.5,5.5,0
39,8.25,7,1
40,7.375,8.125,0
41,4.625,3.875,1
42,4.75,4.75,0
43,2.875,8.125,1
44,7.5,8.375,0
45,7,6.125,1
46,4.75,6.875,0
47,4.5,7.25,1
48,8.375,6.375,0
49,6.875,5.125,1
50,5.5,5.875,0
51,6.375,4.875,1
52,7.875,7.5,0
53,4.625,6,1
54,5.375,4.5,0
55,4.125,6.25,1
56,2.75,5.125,0
57,5.625,5.75,1
58,8.5,6.625,0
59,6.25,7.25,1
60,4.625,5.625,0
61,7.75,6.375,1
62,5,6,0
63,5.5,6.375,1
64,8.625,6.625,0
65,8.5,6.875,1
66,8.25,6,0
67,7.375,5.75,1
68,6.875,7,0
69,5.75,9.375,1
70,6.125,8.5,0
71,6.5,3.75,1
72,4.875,7.25,1
73,4.375,9.5,1
75,7.125,8.875,1
76,9.25,5.125,1
77,9.25,7.75,1
78,5,6.875,1
79,7.25,6.125,1
80,5.75,8.25,1
81,8.375,5.625,0
82,7.75,8.125,0
83,7.25,5.125,0
84,5.25,6.625,0
85,6.875,6.625,0
86,5.125,4.875,0
87,5.375,5.625,0
88,8.125,6,0
89,7,6.125,0
90,5.875,5.625,0
91,5.5,5.375,0
92,5.875,5.625,0
93,4.5,5.25,0
94,7.625,4.625,0
95,6.125,5.625,0
96,3.625,4.875,0
97,8,4.125,0
98,6,6.375,0
99,5.25,6.125,0
100,6.25,7.75,0
101,7.25,6.875,0
102,4.125,3.75,0
103,5.125,5.5,0
104,5,5.25,0
105,4.875,6.875,0
106,6.5,7.375,0
107,5.375,8.125,0
108,5.375,5.25,0
109,7.5,5.5,0
110,6.875,7.75,0
111,6.375,5.125,0
113,5.125,6.875,1
114,7.5,6.375,1
115,7.875,6.625,1
116,6,6.25,1
117,6.75,4.5,1
118,5.625,6.125,1
119,8.25,8.375,1
120,7.625,6.75,1
121,5.875,6.375,1
123,6.25,6.75,1
124,6,5.125,1
